chart,scenario_id,status,reason,count
threat_model_applicability,scenario-01-cve-example-process,applicable,,2
threat_model_applicability,scenario-01-cve-example-process,blocked,,0
threat_model_applicability,scenario-01-cve-example-process,unknown,,0
threat_model_applicability,scenario-03-malware-process-execution,applicable,,1
threat_model_applicability,scenario-03-malware-process-execution,blocked,,0
threat_model_applicability,scenario-03-malware-process-execution,unknown,,0
threat_model_applicability,scenario-04-malware-ingress-transfer,applicable,,1
threat_model_applicability,scenario-04-malware-ingress-transfer,blocked,,0
threat_model_applicability,scenario-04-malware-ingress-transfer,unknown,,0
threat_model_applicability,scenario-05-malware-staged-behavior,applicable,,2
threat_model_applicability,scenario-05-malware-staged-behavior,blocked,,0
threat_model_applicability,scenario-05-malware-staged-behavior,unknown,,0
threat_model_applicability,scenario-11-threat-model-blocked-no-flow,applicable,,0
threat_model_applicability,scenario-11-threat-model-blocked-no-flow,blocked,,1
threat_model_applicability,scenario-11-threat-model-blocked-no-flow,unknown,,0
threat_model_applicability,scenario-12-threat-model-blocked-boundary,applicable,,0
threat_model_applicability,scenario-12-threat-model-blocked-boundary,blocked,,1
threat_model_applicability,scenario-12-threat-model-blocked-boundary,unknown,,0
threat_model_applicability,scenario-13-threat-model-blocked-privilege,applicable,,0
threat_model_applicability,scenario-13-threat-model-blocked-privilege,blocked,,1
threat_model_applicability,scenario-13-threat-model-blocked-privilege,unknown,,0
threat_model_applicability,scenario-14-threat-model-unknown-access,applicable,,0
threat_model_applicability,scenario-14-threat-model-unknown-access,blocked,,0
threat_model_applicability,scenario-14-threat-model-unknown-access,unknown,,1
applicability_reasons,,blocked,communication_path,1
applicability_reasons,,unknown,communication_path,0
applicability_reasons,,blocked,trust_boundary,1
applicability_reasons,,unknown,trust_boundary,1
applicability_reasons,,blocked,authentication,0
applicability_reasons,,unknown,authentication,1
applicability_reasons,,blocked,authorization,0
applicability_reasons,,unknown,authorization,1
applicability_reasons,,blocked,privilege,1
applicability_reasons,,unknown,privilege,0
